stop_id,stop_name,lat,lon,route
Feeder_Koridor_8_10,Stasiun LRT Asrama Haji A,-2.91935038924161,104.711404331302,Feeder Koridor 8
Feeder_Koridor_8_11,Asrama Haji B,-2.91651417880875,104.712020112636,Feeder Koridor 8
Feeder_Koridor_8_12,Kerajinan Karet B,-2.91075817833598,104.714536793033,Feeder Koridor 8
Feeder_Koridor_8_13,PDK,-2.90727174615211,104.725187690695,Feeder Koridor 8
Feeder_Koridor_8_14,Simpang Bandara A,-2.90295760181717,104.727297415991,Feeder Koridor 8
Feeder_Koridor_8_15,Simpang Talang Jambe,-2.89565880265001,104.726002273989,Feeder Koridor 8
Feeder_Koridor_8_16,YAPIS Hikmatul Furqon A,-2.89601508476471,104.722742598362,Feeder Koridor 8
Feeder_Koridor_8_17,Perum Graha Utama Bandara,-2.89573909935291,104.719088671088,Feeder Koridor 8
Feeder_Koridor_8_18,Simpang Karantina A,-2.89623394890395,104.716342841057,Feeder Koridor 8
Feeder_Koridor_8_19,Simpang Karantina B,-2.8961638131922,104.716343276861,Feeder Koridor 8
Feeder_Koridor_8_20,Perum Graha Utama Bandara B,-2.89567352168743,104.718959644092,Feeder Koridor 8
Feeder_Koridor_8_21,YAPIS Hikmatul Furqon B,-2.89500452115879,104.724583911283,Feeder Koridor 8
Feeder_Koridor_8_22,Lorong Bambu Kuning,-2.89663804481032,104.72572746987,Feeder Koridor 8
Feeder_Koridor_8_23,PDK B,-2.90784879763623,104.724864621922,Feeder Koridor 8
Feeder_Koridor_8_24,Palembang Asrama Haji,-2.90966723705134,104.71835103394,Feeder Koridor 8
Feeder_Koridor_8_25,BCA,-2.91031157017995,104.716134028208,Feeder Koridor 8
Feeder_Koridor_8_26,Asrama Haji A,-2.91704081891895,104.712210293682,Feeder Koridor 8
Feeder_Koridor_8_27,LRT Asrama Haji,-2.91955842267099,104.711913739659,Feeder Koridor 8
Feeder_Koridor_8_28,Simpang Karantina B,-2.8961638131922,104.716343276861,Feeder Koridor 8
Feeder_Koridor_8_29,Perum Graha Utama Bandara B,-2.89567352168743,104.718959644092,Feeder Koridor 8
Feeder_Koridor_8_30,YAPIS Hikmatul Furqon B,-2.89500452115879,104.724583911283,Feeder Koridor 8
Feeder_Koridor_8_31,Lorong Bambu Kuning,-2.89663804481032,104.72572746987,Feeder Koridor 8
Feeder_Koridor_8_32,PDK B,-2.90784879763623,104.724864621922,Feeder Koridor 8
Feeder_Koridor_8_33,Palembang Asrama Haji,-2.90966723705134,104.71835103394,Feeder Koridor 8
Feeder_Koridor_8_34,BCA,-2.91031157017995,104.716134028208,Feeder Koridor 8
Feeder_Koridor_8_35,Asrama Haji A,-2.91704081891895,104.712210293682,Feeder Koridor 8
Feeder_Koridor_8_36,LRT Asrama Haji,-2.91955842267099,104.711913739659,Feeder Koridor 8
Teman_Bus_Koridor_2_1,Terminal sako,-2.931505699999946,104.7903950700001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_2,H.simpang bombat,-2.934411429999955,104.7864796300001,Teman Bus Koridor 2
Teman_Bus_Koridor_2_3,H.lorong manalagi A,-2.936946529999943,104.78316641,Teman Bus Koridor 2
Teman_Bus_Koridor_2_4,H. sapta marga,-2.94080914999995,104.7834042300001,Teman Bus Koridor 2
