stop_id,name,longitude,latitude,route_type,route_name,sequence
AF_Koridor 5 - DJKA - Terminal Plaju__5,BS pasar tegal binangun B ada,104.818,-3.00783,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,5
AF_Koridor 5 - DJKA - Terminal Plaju__6,BS sma fitria abadi B ada,104.815,-3.01191,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,6
AF_Koridor 5 - DJKA - Terminal Plaju__7,BS puskesmas tegal binangun B ada,104.813,-3.01442,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,7
AF_Koridor 5 - DJKA - Terminal Plaju__8,BS Paud al bayyinah ada,104.81,-3.01746,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,8
AF_Koridor 5 - DJKA - Terminal Plaju__9,BS GNPK ri ada,104.808,-3.0202,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,9
AF_Koridor 5 - DJKA - Terminal Plaju__10,BS jl. talang peti ada,104.806,-3.02214,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,10
AF_Koridor 5 - DJKA - Terminal Plaju__11,BS SDN 320 B ada,104.805,-3.02323,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,11
AF_Koridor 5 - DJKA - Terminal Plaju__12,BS toko jaya ada,104.804,-3.02515,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,12
AF_Koridor 5 - DJKA - Terminal Plaju__13,BS SDN 288 B ada,104.802,-3.02736,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,13
AF_Koridor 5 - DJKA - Terminal Plaju__14,BS Indomaret ada,104.801,-3.02832,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,14
AF_Koridor 5 - DJKA - Terminal Plaju__15,BS puskesmas ada,104.799,-3.03168,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,15
AF_Koridor 5 - DJKA - Terminal Plaju__16,BS perumahan Chelsea ada,104.798,-3.03435,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,16
AF_Koridor 5 - DJKA - Terminal Plaju__17,BS cluster winola B ada,104.797,-3.03685,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,17
AF_Koridor 5 - DJKA - Terminal Plaju__18,BS plam springs ada,104.796,-3.03877,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,18
AF_Koridor 5 - DJKA - Terminal Plaju__19,BS kios bunga ada,104.795,-3.03904,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,19
AF_Koridor 5 - DJKA - Terminal Plaju__20,BS Depo djka B ada,104.792,-3.03492,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,20
AF_Koridor 5 - DJKA - Terminal Plaju__21,BS stasiun lrt djka B ada,104.79,-3.03154,angkot_feeder,Koridor 5 - DJKA - Terminal Plaju_,21
AF_Koridor 6 - RSUD - Sukawinatan_1,BS lingga motor ada,104.745,-2.93038,angkot_feeder,Koridor 6 - RSUD - Sukawinatan,1
AF_Koridor 6 - RSUD - Sukawinatan_2,BS lorong setia ada,104.742,-2.92967,angkot_feeder,Koridor 6 - RSUD - Sukawinatan,2
