route_name,route_type,stop_id,stop_name,sequence,longitude,latitude
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__4,BS SPBU 24 ada,4,104.818,-3.00558
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__5,BS pasar tegal binangun B ada,5,104.818,-3.00783
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__6,BS sma fitria abadi B ada,6,104.815,-3.01191
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__7,BS puskesmas tegal binangun B ada,7,104.813,-3.01442
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__8,BS Paud al bayyinah ada,8,104.81,-3.01746
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__9,BS GNPK ri ada,9,104.808,-3.0202
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__10,BS jl. talang peti ada,10,104.806,-3.02214
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__11,BS SDN 320 B ada,11,104.805,-3.02323
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__12,BS toko jaya ada,12,104.804,-3.02515
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__13,BS SDN 288 B ada,13,104.802,-3.02736
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__14,BS Indomaret ada,14,104.801,-3.02832
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__15,BS puskesmas ada,15,104.799,-3.03168
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__16,BS perumahan Chelsea ada,16,104.798,-3.03435
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__17,BS cluster winola B ada,17,104.797,-3.03685
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__18,BS plam springs ada,18,104.796,-3.03877
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__19,BS kios bunga ada,19,104.795,-3.03904
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__20,BS Depo djka B ada,20,104.792,-3.03492
Koridor 5 - DJKA - Terminal Plaju_,angkot_feeder,AF_Koridor 5 - DJKA - Terminal Plaju__21,BS stasiun lrt djka B ada,21,104.79,-3.03154
Koridor 6 - RSUD - Sukawinatan,angkot_feeder,AF_Koridor 6 - RSUD - Sukawinatan_1,BS lingga motor ada,1,104.745,-2.93038
Koridor 6 - RSUD - Sukawinatan,angkot_feeder,AF_Koridor 6 - RSUD - Sukawinatan_2,BS lorong setia ada,2,104.742,-2.92967
Koridor 6 - RSUD - Sukawinatan,angkot_feeder,AF_Koridor 6 - RSUD - Sukawinatan_3,BS lorong aman B ada,3,104.741,-2.92927
Koridor 6 - RSUD - Sukawinatan,angkot_feeder,AF_Koridor 6 - RSUD - Sukawinatan_4,BS SPBU 24 ada,4,104.738,-2.93096
Koridor 6 - RSUD - Sukawinatan,angkot_feeder,AF_Koridor 6 - RSUD - Sukawinatan_5,BS pasar tegal binangun B ada,5,104.737,-2.93298
